Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,channels_0,channels_1,channels_2,channels_3,channels_4,channels_5,channels_6,channels_7,channels_8,channels_9,channels_10,channels_11,channels_12,channels_13,channels_14,channels_15
1737286274.748274,20929,1737286274,741976720,,1484,1414,1486,1818,0,0,0,0,0,0,0,0,0,0,0,0
1737286274.848016,20930,1737286274,841978768,,1342,1543,1689,1650,0,0,0,0,0,0,0,0,0,0,0,0
1737286274.9457572,20931,1737286274,942013816,,1455,1448,1539,1779,0,0,0,0,0,0,0,0,0,0,0,0
1737286275.0449064,20932,1737286275,42010864,,1393,1500,1599,1732,0,0,0,0,0,0,0,0,0,0,0,0
1737286275.1458938,20933,1737286275,141919912,,1303,1571,1739,1593,0,0,0,0,0,0,0,0,0,0,0,0
1737286275.2480664,20934,1737286275,241922216,,1486,1423,1688,1650,0,0,0,0,0,0,0,0,0,0,0,0
1737286275.3470206,20935,1737286275,341945008,,1441,1469,1525,1791,0,0,0,0,0,0,0,0,0,0,0,0
1737286275.4453893,20936,1737286275,441929056,,1375,1523,1648,1690,0,0,0,0,0,0,0,0,0,0,0,0
1737286275.545442,20937,1737286275,541951848,,1271,1591,1805,1506,0,0,0,0,0,0,0,0,0,0,0,0
1737286275.645367,20938,1737286275,641962896,,1521,1373,1550,1773,0,0,0,0,0,0,0,0,0,0,0,0
1737286275.7451937,20939,1737286275,742029688,,1338,1546,1636,1704,0,0,0,0,0,0,0,0,0,0,0,0
1737286275.8451333,20940,1737286275,841921736,,1312,1560,1783,1539,0,0,0,0,0,0,0,0,0,0,0,0
1737286275.948585,20941,1737286275,941973040,,1455,1445,1718,1618,0,0,0,0,0,0,0,0,0,0,0,0
1737286276.0476937,20942,1737286276,41985344,,1303,1566,1751,1579,0,0,0,0,0,0,0,0,0,0,0,0
1737286276.1469836,20943,1737286276,141989136,,1485,1416,1702,1637,0,0,0,0,0,0,0,0,0,0,0,0
1737286276.2453635,20944,1737286276,241945904,,1445,1454,1545,1775,0,0,0,0,0,0,0,0,0,0,0,0
1737286276.3491104,20945,1737286276,341935952,,1333,1546,1617,1715,0,0,0,0,0,0,0,0,0,0,0,0
1737286276.449816,20946,1737286276,441940720,,1371,1522,1731,1597,0,0,0,0,0,0,0,0,0,0,0,0
1737286276.5486865,20947,1737286276,541944768,,1467,1441,1768,1547,0,0,0,0,0,0,0,0,0,0,0,0
1737286276.6478574,20948,1737286276,641966536,,1337,1554,1762,1556,0,0,0,0,0,0,0,0,0,0,0,0
1737286276.7459168,20949,1737286276,741930840,,1430,1483,1567,1755,0,0,0,0,0,0,0,0,0,0,0,0
1737286276.848147,20950,1737286276,841956864,,1373,1529,1756,1563,0,0,0,0,0,0,0,0,0,0,0,0
1737286276.9497113,20951,1737286276,942010912,,1532,1370,1521,1786,0,0,0,0,0,0,0,0,0,0,0,0
1737286277.045885,20952,1737286277,42038680,,1379,1522,1800,1502,0,0,0,0,0,0,0,0,0,0,0,0
1737286277.1504672,20953,1737286277,141942984,,1436,1471,1675,1656,0,0,0,0,0,0,0,0,0,0,0,0
1737286277.246589,20954,1737286277,241988008,,1479,1425,1562,1758,0,0,0,0,0,0,0,0,0,0,0,0
